symbol,ai_threshold,confidence_threshold,position_size,sl_multiplier,tp_multiplier,total_trades,win_rate,roi,sharpe_ratio,profit_factor,max_drawdown,final_balance
ETH/USDT,2,7,0.1,2.5,3.0,61,42.62295081967213,0.5547546281421887,0.447302098925303,1.0687658976641052,-44.29655381072846,1005.5475462814219
ETH/USDT,2,7,0.1,3.0,3.0,61,42.62295081967213,0.5519290189779553,0.4440639351156804,1.06840908849412,-44.93547565210737,1005.5192901897796
ETH/USDT,3,7,0.1,3.0,3.0,61,42.62295081967213,0.5519290189779553,0.4440639351156804,1.06840908849412,-44.93547565210737,1005.5192901897796
ETH/USDT,3,7,0.05,2.0,4.0,60,43.333333333333336,0.5457959723255612,0.9130973813142399,1.151142908700273,-17.334261138323257,1005.4579597232556
ETH/USDT,2,7,0.05,2.0,4.0,60,43.333333333333336,0.5457959723255612,0.9130973813142399,1.151142908700273,-17.334261138323257,1005.4579597232556
ETH/USDT,3,7,0.15,2.5,4.0,60,43.333333333333336,0.5280913451933771,0.2838563421712564,1.0443635350555005,-62.459200278955535,1005.2809134519338
ETH/USDT,2,7,0.15,2.5,4.0,60,43.333333333333336,0.5280913451933771,0.2838563421712564,1.0443635350555005,-62.459200278955535,1005.2809134519338
ETH/USDT,3,7,0.15,3.0,4.0,60,43.333333333333336,0.5228012892492643,0.28044924437953034,1.0439162222382916,-63.42112432843394,1005.2280128924926
ETH/USDT,2,7,0.15,3.0,4.0,60,43.333333333333336,0.5228012892492643,0.28044924437953034,1.0439162222382916,-63.42112432843394,1005.2280128924926
ETH/USDT,2,7,0.1,2.5,4.0,60,43.333333333333336,0.3976618898569541,0.3208483651569342,1.0503589389788042,-41.36666562698296,1003.9766188985695
ETH/USDT,3,7,0.1,2.5,4.0,60,43.333333333333336,0.3976618898569541,0.3208483651569342,1.0503589389788042,-41.36666562698296,1003.9766188985695
ETH/USDT,2,7,0.1,3.0,4.0,60,43.333333333333336,0.39492602223084533,0.3179667993182337,1.0500077063000024,-42.00443891538252,1003.9492602223085
ETH/USDT,3,7,0.1,3.0,4.0,60,43.333333333333336,0.39492602223084533,0.3179667993182337,1.0500077063000024,-42.00443891538252,1003.9492602223085
SOL/USDT,3,8,0.15,2.5,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,2,8,0.15,2.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,4,7,0.15,3.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,2,8,0.15,3.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,4,8,0.15,2.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,2,8,0.15,2.5,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,3,8,0.15,3.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,4,7,0.15,2.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,3,8,0.15,2.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,4,8,0.15,2.5,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,4,7,0.15,2.5,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
SOL/USDT,4,8,0.15,3.0,3.0,2,50.0,0.31122626908536405,5.5790170165961825,2.9762881123121043,0.0,1003.1122626908536
ETH/USDT,2,7,0.05,2.0,5.0,58,44.827586206896555,0.30895520079915284,0.5081811856462198,1.0923514454608303,-17.25382914977952,1003.0895520079915
ETH/USDT,3,7,0.05,2.0,5.0,58,44.827586206896555,0.30895520079915284,0.5081811856462198,1.0923514454608303,-17.25382914977952,1003.0895520079915
ETH/USDT,3,7,0.05,2.5,3.0,61,42.62295081967213,0.3028183773200567,0.4893156696915134,1.0755973795516922,-21.962784495395102,1003.0281837732006
ETH/USDT,2,7,0.05,2.5,3.0,61,42.62295081967213,0.3028183773200567,0.4893156696915134,1.0755973795516922,-21.962784495395102,1003.0281837732006
